,text,label,aug_text
0,LCY-BCN-LCY. on CE. I love LCY as you don't have to walk for miles. You come off the DLR down to the check in desk. Because we were flying Club Europe we were able to the use the dedicated check in desk so that was quick. Security was very quick and friendly. They seem to have even more security zones than my last trip. No lounges at LCY. Boarding was on time but no priority for CE pax or OW elites. However given as they board from the back and front of the plane it didn't mater. On board the 2 crew worked hard delivering the breakfast meals out to a full plane load. Nice product but the eggs were are bit crumbly. Arrived on time but bags took a while to come out with no priority. Return journey from BCN was good. Check in a breeze. Sala Miro lounge to wait in but being on the cusp of lunch there wasn't much in the way of fresh food about. Boarding was done by cabin/status. Not as full as before - 6 in CE only. Both meal options were salads ie fish or meat on rocket with some other little bits. Could have done with more leaves and some vegetables! Dessert was some cream concoction imitating an Eton mess. The crew were good and even offered their meal to a pax that didn't fancy the options. Bags at City came out in some order ie some priority bags then standard then a few more priority. Still a quick airport to exit. Shame BA is cancelling the LCY - BCN flights from August. I hope they bring them back.,1,"LCY-BCN-LCY. on CE. I love LCY because you don't have to walk miles. You will be taken from the DLR to the check-in desk. As we were flying with Club Europe, we were able to use the special check-in desk, so it was quick. Security was very fast and friendly. They seem to have even more security zones than my last trip. No lounges at LCY. The boarding school was on time, but for the CE-Pax or OW elites it was not a priority. But when you think they're getting on the plane from behind and in front, it doesn't matter. On board, the two crew members worked hard to deliver breakfast meals until the plane was fully loaded. Nice product, but the eggs were a bit crumbly. Arriving on time, it took a while for the bags to come out without priority. The return trip from BCN was good. Check in a snap. Sala Miro Lounge to wait for, but since we were about to have lunch, there was not much fresh food."
1,On the flight to Dubai we wanted to Fly Business Class but unfortunately all Business Class and First Class seats were booked - so we booked Economy Class on the A380. This was the best Economy Class experience we have had the seats are wide with a lot leg room. Service was great.,1,"On the flight to Dubai we wanted to fly business class, but unfortunately all business class and first class seats were occupied - so we booked economy class on the A380. It was the best economy class experience we've had, the seats are wide and offer plenty of legroom. The service was great."
2,"Flew 2 legs- MID-MEX on ""Connect"" brand and then MEX-YYZ. The MID-MEX leg was operated by an E190 no IFE and the snacks were average peanuts but the seats were comfortable and due to the length of the flight it wasn't important. The second leg was on a 737-700. The seats were comfortable and very nice blankets were provided however the IFE was quite limited (overhead screens that played movies and nothing else and were shut off 3 quarters into the flight) so I would recommend bringing your own entertainment if you're flying an Aeromexico 737. In flight meal was edible at most. Overall there were no major problems but they need to improve their IFE on longer flights and their food.",1,"Flies 2 legs - MID-MEX on ""Connect"" mark and then MEX-YYZ. The MID-MEX was operated by an E190 without IFE and the snacks were average peanuts, but the seats were comfortable and unimportant due to the length of the flight. The second stage was with a 737-700. The seats were comfortable and very nice blankets were provided, but the IFE was quite limited (overhead screens that played movies and nothing else and three quarters of the flight were switched off), so I would recommend bringing your own entertainment if you are flying an Aeromexico 737. The food was edible at most during the flight. Overall, there were no major problems, but they need to improve their IFE on longer flights and their food."
3,DOH-MCT-BKK outbound and return. DOH-MCT on E175 superb seating friendly and professional crew. MCT- BKK there was a change of aircraft (plane was a Gulf Air wetlease - does not compare to WY cabin though service was friendly). Business Class Lounge in MCT is outstanding with friendly staff and excellent selection. On return BKK WY lounge was excellent staff did check-in for me to save the hassle of the transfer desk lounge was busy but enough comfortable seating. Staff were responsive to requests and provided a great service. Transfer in MCT again easy. Was only J passenger on MCT-DOH cabin and impressed that WY organised a special J bus to collect me and to take me to the terminal. Was in the office less than 40 mins after landing.,1,"DOH-MCT-BKK return flight. DOH-MCT on E175 excellent seating friendly and professional crew. MCT-BKK there was a plane exchange (plane was a Gulf Air Wetlease - not comparable to WY cabin, although the service was friendly). The MCT's Business Class Lounge is characterised by friendly staff and an excellent selection. On returning BKK WY Lounge staff was excellent, check in for me to the annoyance of the transfer desk lounge was busy but enough comfortable seating. The staff were responsive to requests and provided a great service. Transfer in the MCT again easy. Only J was a passenger in the cabin of MCT-DOH and impressed that WY organized a special J-Bus to pick me up and take me to the terminal. Was in the office less than 40 minutes after landing."
4,My first Allegiant Air experience. I booked two weeks in advance. Traveled from LAX to Idaho Falls. I go to Jackson Hole WY every summer and I always have to get creative about getting there as there are always high ticket prices. I decided to give this airline a go. Both flights were on time - every aspect was fine. Yes it is no-frills and you pay for everything but if you know that going in you can adapt. We became better packers and brought our own food onboard.,1,"My first Allegiant Air experience. I booked two weeks in advance. Traveled from LAX to Idaho Falls. I go to Jackson Hole every summer and I always have to be creative to get there because ticket prices are always high. I decided to try this airline. Both flights were on time - everything was fine. Yes, it's straightforward and you pay for everything, but when you know you can adapt when you go in. We became better packers and brought our own food on board."
5,It was our first time flying with Norwegian and after reading some of the comments I was quite anxious. I was flying with my little boy and was worried more about his comfort on this long flight. On arrival at Gatwick airport we checked in promptly most of the staff were nice enough. The flight arrived on time and we were allowed to board. The plane was very modern and clean and the entertainment provided was excellent. With so many films games music and activities available free of charge I didn't need to have packed onboard activities for my son. Food service was prompt and was to a good standard as plane food goes it better then any other airline I have used. The flight was smooth and we were kept fully updated and arrived at out destination on time. The only thing I would say is to purchase snacks at the airport at the selection of food and drink from the snack bar isn't great also I didn't like the fact you can only make purchases using a debit/credit card!,1,"It was our first time flying with Norwegian and after reading some comments I was quite concerned. I was flying with my little boy and was more concerned about his comfort on that long flight. On arrival at Gatwick Airport we checked in promptly, most of the staff were friendly enough. The flight arrived on time and we were allowed to board. The plane was very modern and clean and the entertainment was excellent. With so many films, music and activities available for free, I wouldn't have had to pack any activities for my son on board. The service was prompt and of a good standard, as the food on the plane is better than any other airline I have used. The flight went smoothly and we were kept informed and arrived at our destination on time. The only thing I would say is that buying snacks at the airport when choosing food and drinks from the snack bar is not great, nor did I like the fact that you can only make purchases with a debit / credit card!"
6,"Flight was two hours late leaving, but once on board cabin crew were friendly, and each seat had individual IFE. Interior must have been recently upgraded, for a 767 it looked in fairly decent shape.",1,"The flight started two hours late, but once on board the flight attendants were friendly and each seat had its own individual IFE. The interior must have been recently modernised, for a 767 it looked in pretty decent condition."
7,Flight from Athens to Vienna in business class. Very nice service from the crew and a fantastic breakfast. Aircraft was a new airbus A319.,1,Flight from Athens to Vienna in Business Class. Very nice service from the crew and a fantastic breakfast. plane was a new Airbus A319.
8,"We got an offer for 500GBP per person at last minute. The plane from London to Bahrain was awful - delayed boarding. Crew were unkind. The food was served late, even after many requests for some snacks (my kids got hungry), the crew didn't manage to give anything. There were no vegetarian options left. The entertainment was cut off during half the flight. However, once in Bahrain everything went smoothly. The check-in was delightful. The crew were very pleasant and the flights were on time. The food was very nice and the entertainment was perfect. Our return was perfect - the only down side was the first journey.",1,"We got a last-minute offer of £500 per person. The flight from London to Bahrain was awful - late on board. The crew was unfriendly. The food was served late, even after many requests for snacks (my children got hungry) the crew did not manage to give anything. There were no vegetarian options left. The conversation was interrupted mid-flight. In Bahrain, however, everything went smoothly. The check-in was wonderful. The crew was very pleasant and the flights were punctual. The food was very good and the entertainment perfect. Our return was perfect - the only downside was the first trip."
9,"I flew a KLM B737-900ER twice and I was very impressed. This is my first time flying KLM (AMS-VCE-AMS) and it was excellent. The flight was on-time and check-in staff were very nice. I am a Skyteam ""elite plus"" member so I got to enter the KLM Crown Lounge once again very impressed. The seats were amazing for a European flight and they had tasty food for a 3 hour flight. The flight had a map of the flight on the screens and the FA's were all smiles and a funny safety demo on the first fight too! When we arrived almost all the baggage was off the plane before the jetway got to us! This airline was one of the best I have flown and will definitely fly KLM again.",1,"I have flown twice with a KLM B737-900ER and was very impressed. I fly with KLM (AMS-VCE-AMS) for the first time and it was excellent. The flight was on time and the check-in staff was very nice. I am a member of Skyteam's Elite plus and was therefore once again very impressed to enter the KLM Crown Lounge. The seats were amazing for a European flight and they had delicious food for a 3-hour flight. The flight had a map of the flight on the screens and the FA's were all smiles and a fun safety demonstration even in the first match! When we arrived, almost all of the luggage was off the plane before the jetty came to us! This airline was one of the best I have flown and will definitely fly with KLM again."
