,text,label,aug_text
0,"	Skip Color, Go Directly To The Black-And-White
 	I'm not sure why Sony, which now owns I Dream of Jeannie, decided to colorize the first season of this series.  Whatever the reason, you can readily tell by looking at the prices here on Amazon.com that the original black-and-white version of the first season is worth a lot more.  The reason for that is simple--I Dream of Jeannie was originally broadcast in black-and-white.  And for a television fan like myself, that's the ONLY way to watch the first season.

The episodes themselves are just as I remember seeing them.  Since I wasn't around in 1965, I'm pretty sure I've never seen these without the cuts that have been referenced here.  But to me, they're still pretty good.  The theme music, in my opinion, is every bit as good as the second theme, introduced when Jeannie went to color in 1966.  

The one thing that truly will drive the purists nuts is the fact that Sony stripped off the old Screen Gems animation from the end of every episode.  That logo was attached to so many classic shows from the 1960s and 1970s, and it is consistenly rated, along with Viacom's old blue V of Doom, as the scariest logo in the history of television.  The new Sony outro doesn't pack the same punch.

Still, if you liked Jeannie way back when, you'll love it now, especially since you can watch it anytime you like, without commercial interruption
",1,"I'm not sure why Sony, which now owns I Dream of Jeannie, decided to color the first season of this show. Whatever the reason, it's easy to see from the prices here on Amazon.com that the original black-and-white version of the first season is worth much more. The reason is simple: I Dream of Jeannie was originally broadcast in black and white. And for a TV fan like me, that's the ONLY way to see the first season. The episodes themselves are exactly as I remember them. Since I was not there in 1965, I am pretty sure that I have never seen these without the cuts mentioned here. But for me they are still pretty good. The theme music is, in my opinion, as good as the second theme introduced when Jeannie went to color in 1966. The only thing that will really drive the purists crazy is the fact that Sony has stripped the old Screen Gems animations off at the end of each episode. This logo has been added to so many classic series from the 1960s and 1970s, and, along with Viacom's old blue V of Doom, is consistently rated as the scariest logo in television history. The new Sony Outro doesn't pack the same punch. Still, if you've always liked Jeannie, you'll love her now, especially because you can watch her anytime without any commercial interruption."
1,"	Best American Animated Film Ever
 	If you don't own this dvd you need to add it to your collection. In my opinion it is the best american animated film ever released
",1,"Best American Animated Movie of All Time If you do not own this DVD, you must add it to your collection. In my opinion it is the best American animated film ever released"
2,"	The Bone Collector
 	Denzel Washington is great but Angelina Jolie he is even better. The movie itself is pretty scary, to tell you the truth it's not pleasant. There are some parts you don't really need to see. The plot of the movie is interesting and keeps you wondering what is gonna happen next. I recommend watching it with somebody, cause it's not pretty. But it's a good movie.
",1,"The bone-collector Denzel Washington is great, but Angelina Jolie is even better. The film itself is quite scary, frankly, it's not pleasant. There are some parts that you don't really need to see. The plot of the film is interesting and makes you wonder what will happen next. I recommend seeing it with someone because it's not nice. But it's a good film."
3,"	a gem!
 	I rediscovered this after a long time. This is a great series.I had never seen this in its entirety and look forward to seeing the third and fourth which I understand is not out yet.Its a gem, love the storyline and costumes.,so authentic looking and of the period,even the dialogue.I wish there were more of this genre
",1,"A gem! I discovered that after a long time. This is a great series.I had never seen this in its entirety and look forward to seeing the third and fourth that I understand has not passed away 。 It's a gem, love the plot and the costumes, so authentic-looking and of the time, even of the dialogues.I wish there were more of this genre"
4,"	Reminiscing.......
 	I bought this movie for my coming of age daughter to watch with me.  I enjoyed it so much in high school and was not surprised that she did also. Times and styles may have changed, but I believe that teens still go through needing the sense of belonging as these teens in the movie did. Simple, but great movie.  My only regret is that it wasn't close captioned
",1,"Reminding of the time... I bought this film for my adult daughter to watch together. I enjoyed it so much in high school and I wasn't surprised she did it. Times and styles may have changed, but I think teenagers still need that sense of belonging, as those teens did in the movie. Simple but great film. My only regret is that it was not so close."
5,"	Great Dreamworks animated movie!
 	R.J. The Raccoon (Bruce Willis) was just looking for something to eat as he stumbles into his bear friend's (Nick Nolte) cave and accidently destroys his food, he has an entire week to find almost every scrap of food for him or else he dies. He finds a family of animals (Gary Shandling, William Shatner, Wanda Sykes, Steve Carrell, Eugene Levy, Catherine O'Hara, Avril Lavigne) and uses them for his scheme to go over the large hedge near their territory to the suburbs where they steal food from the humans. Later on, the home-owner Gladys (Allison Janey) hires professional exterminator Dwayne (Thomas Hayden Church) to kill them but can RJ save his own life or his new friends's?

Extremely entertaining and fantastic CGI animated comedy from the makers of ""Shrek 1  and  2"", ""Antz"" and ""Madagscar"" Dreamworks provides great realistic CGI and laughs for everybody. There's also heart in this movie and shows the meaning of what it is like to have friends and be one's true self instead of being selfish! Steve Carrell's character Hammy the Squirrel steals the show here as the best character in the movie, it's a wonderful and hilarious movie that can be enjoyed by both kids and adults.

This DVD has some good extras like two sneek previews to ""Shrek 3"" and ""Bee-Movie"", audio commentary, behind-the-scenes featurette, VerneTech commercial, games, meet the cast featurette and gallery.

Highly recommended! the best Dreamworks animated movie since ""Shrek 1  and  2""
",1,"Great Dreamworks animated film! R.J. The raccoon (Bruce Willis) was just looking for something to eat when he stumbles into the cave of his bear friend (Nick Nolte) and accidentally destroys his food. He has a whole week to find almost every scrap of food for himself, otherwise he dies. He finds a family of animals (Gary Shandling, William Shatner, Wanda Sykes, Steve Carrell, Eugene Levy, Catherine O'Hara, Avril Lavigne) and uses them for his plan to go over the large hedge near their territory to the suburbs, where they steal food from people. Later, homeowner Gladys (Allison Janey) hires professional exterminator Dwayne (Thomas Hayden Church) to kill her, but can RJ save his own life or that of his new friends? Extremely entertaining and fantastic CGI animated comedy from the makers of ""Shrek 1 and 2,"" ""Antz"" and ""Madagascar"" Dreamworks offers great realistic CGI and makes everyone laugh. There is heart in this film too, and it shows what it means to have friends and be your true self instead of being selfish! Steve Carrell's character Hammy the Squirrel steals the show as the film's best character, a wonderful and hilarious film that is fun for both children and adults. This DVD contains some good extras like two previews of ""Shrek 3"" and ""Bee Movie,"" audio commentary, behind-the-scenes feature, VerneTech commercials, games, cast meeting feature and gallery. Highly recommended! The best Dreamworks animated film since ""Shrek 1 and 2"""
6,"	The First Woman in the Workplace Film
 	9 to 5 was the first film to address the glass ceiling.  It takes a look at the workplace from a woman's view.

We first meet Violet (Lily Tomlin) who has been working for Consolidated Companies for 12 years and has been overlooked for most of them.  She trained her current boss and has the bruises to prove it.  Judy (Jane Fonda) is the new girl in the office.  She is a divorcee (he left her for his secretary) and has never worked for a living.  Rounding out the heroines is Doralee (Dolly Parton in the film debut). She is the personal secretary of Franklin Hart (Dabney Coleman) and everyone thinks she is ""banging the boss"".

But the fun starts when Violet is passed over for a promotion to a man she helped train.  She then blurts out that Hart has been spreading rumors that he's been having an affair with Doralee.  And an employee is fired for a small infraction. This sends the three women to the local bar to drown their sorrows and they bond.

Each comes up with their fantasy way of killing the boss.  Judy is a big game hunter with Hart as the prey.  Doralee plays role reversal and Hart ends up on a rotisserie spit.  But Violet wants it to be like a fairy tale where she is Snow White and the wicked witch and poisons Hart.  

The next day, Violet accidentally poisons Hart's coffee.  When falls out of his chair and is knock unconscious, Violet thinks she killed him.  This leads to an all out comedy chase with Violet steals the wrong corpse.

The next day to the ladies surprise, Hart shows up.  The ladies regroup in the restroom but Roz overhears them and reports it to Hart.  Hart confronts the ladies but they wind up kidnapping him to find some incriminating evidence.  The find something but it is going to take some time to get the evidence.  Over the next six weeks the ladies run the office in Hart's absence.  Hart escapes but the ladies changes have brought notice and Hart is not above taking someone else's glory.

The subject matter here is very serious.  So to do it as a comedy is very daring and it works perfectly.  This is a film that many people identify with.  Everyone has had a boss or a teacher that oppressed them.  And this film is what we all would like to do to these oppressors.   You will laugh until it hurts.

DVD EXTRAS:
Commentary by producer Bruce Gilbert and stars Lily, Jane and Dolly

9 to 5 @ 25 - a 25 minute featurette with interviews with Gilbert, writer director Colin Higgins and stars Lily. Jane, Dolly and Dabney Coleman.

Deleted Scenes - 10 mostly expanded scenes or alternate takes.  The problem is without some kind of commentary we do not know why the scene was cut.
",1,"The first woman at work Film 9 to 5 was the first film to deal with the glass ceiling. It takes a look at the workplace from a woman's perspective. We meet Violet (Lily Tomlin), who has worked for Consolidated Companies for 12 years and has been overlooked by most of them. She has trained her current boss and the bruises to prove it. Judy (Jane Fonda) is the new girl in the office. She is divorced (he left her for his secretary) and has never worked for a living. Rounding out the heroines is Doralee (Dolly Parton in the film's debut). She is Franklin Hart's personal secretary (Dabney Coleman) and everyone thinks she ""beats the boss."" But the fun begins when Violet is passed over for a promotion to a man she has trained. Then it emerges that Hart has spread rumours that he is having an affair with Doralee. And one employee is fired for a minor violation. This sends the three women to the local bar to drown their sorrows, and they tie up. Each of them has his fantasy to kill the boss. Judy is a big game hunter with Hart as her prey. Doralee plays role swapping and Hart lands on a spit. But Violet wants it to be like in a fairy tale, where she is Snow White and the Wicked Witch and poisons Hart."
7,"	Great reference
 	I wanted to do a grad school paper on something I was interested in researching and I picked Hip-Hop. After working for an underground Hip-Hop magazine, I'd already familiarized myself with a lot of information that I was too young to understand (being born in '81).  I visited the University of Hip-Hop in Chicago, interviewed underground artists, and went to breaking shows in the Illinois area.  Although I thought I was very familiar with Hip-Hop, after working with this magazine, I realized I knew NOTHING.

So when I was given the chance to do my research paper, I knew that I would be able to learn even more than I already knew from working for the magazine.  I watched the three parts of ""Beef"" first and saw an ad for this movie in the Extras section.  Honestly, the first thing that caught my eye was how gorgeous Mr. Wiggles was...but then after fully watching the preview, I realized this was the PERFECT movie for me to find out more about breaking.  

This movie documented the founding members, discussed the four elements of Hip-Hop, gave a lot of background information on Kool Herc and Grandmaster Flash, talked about the different techniques in breaking, the label ""breakdancing,"" the media's dilution of breaking, the first movies that breaking was showcased in, new breaking groups...just a bunch of ""firsts.""  It was a great reference for my paper, I enjoyed watching it, and I could watch it over and over again.  I have a lot of respect for the founders because without them, headz wouldn't have this beautiful culture to express ourselves physically, mentally, and verbally
",1,"Great reference I wanted to write a thesis about something that interested me and I chose hip-hop. After working for an underground hip hop magazine, I had already become familiar with a lot of information I didn't understand (born in '81). I attended the University of Hip-Hop in Chicago, interviewed underground artists and attended breaking shows in the Illinois area. Although I thought I was very familiar with hip-hop, after working with this magazine I realized that I knew NOTHING. So when I got the chance to write my research, I knew I could learn even more than I already knew from working for the magazine. I first watched the three parts of ""Beef"" and saw an advertisement for this film in the extras section. Honestly, the first thing I noticed was how gorgeous Mr. Wiggles was... but then, after watching the preview, I realized that this was the PERFECT movie for me to find out more about Breaking. This film documented the founding members, discussed the four elements of hip-hop, gave a lot of background information about Kool Herc and Grandmaster Flash, talked about the various techniques of breaking, the label ""breakdance,"" the media watering down of breaking, the first films in which breaking was shown, new breaking groups... just a few ""firsts."" It was a great reference for my newspaper, I loved looking at it and I could look at it again and again. I have a lot of respect for the founders because without them we wouldn't have this beautiful culture to express ourselves physically, mentally and verbally."
8,"	Hilarious Exciting Fast Paced Fun Film -  Must See
 	Honestly, I wasn't certain about this film, in fact, at first I actually believed it was related to ""Chocolate.""   I was terribly wrong yet most pleasantly surprised.  Upon first viewing, I did not laugh as much as the second time.  Yes, I tend to watch a film twice for I know we miss much the first time with our opinions and own theories.  I can be more relaxed and open minded the second time.  Second viewing was a belly full of laughter.

This is the best lesbian comedy I have ever seen.  The acting was wonderful and the film was fast paced.  Now that I decided that this film is exceptional, it was time to put it to the test on others (mostly women 20's - 80's years, some men.)  Each person I shared this film with, either loaning it or viewing it together, all responded similarly: ""This is a hysterically funny film.""  

What is even more amazing is the brief allotted time the director accomplished in completing the filming process - about twenty-two days. Congratulations, sometimes a tight budget can produce a true work of art.  Many short films I have seen on the ""Spiritual Cinema Circle"" also have numerous low budget wonderful productions.  Hoorah for the film art genius.

I applaud the entire talented cast and crew, especially actress, Christine Cox, her performance was exceptionally wonderful.  I would like to see her in more comedies...she's a natural.  I fell ""in love with her"" and I am straight gal, as are all of the actresses except for Frances.

A must see funny film.  I always wondered why the comedy male gay films always had that edge of humor when the lesbian films appeared more serious.  We need more films that are as pleasurable and diversified as ""Better Than Chocolate"".  Thanks bunches.
",1,"Hilarious Exciting Fast Paced Fun Movie - Must See Honestly, I wasn't sure if this movie was actually related to ""Chocolate."" I was terribly wrong, but I was pleasantly surprised. I didn't laugh as much at first sight as I did the second time. Yes, I tend to watch a film twice because I know that the first time we miss a lot with our opinions and our own theories. I can be more relaxed and open the second time. The second time I looked, my stomach was full of laughter. This is the best lesbian comedy I've ever seen. The acting was wonderful and the film was fast. Now that I decided this film was exceptional, it was time to try it on others (mostly women between 20 and 80 years old, some men). Every person I shared, borrowed or shared this film with reacted similarly: ""This is a hysterical film."" Even more astonishing is the short time the director spent completing the shoot - about 22 days. Congratulations, sometimes a tight budget can produce a true work of art. Many of the short films I saw at the Spiritual Cinema Circle also have a lot of low-budget productions. Hooray for the cinematic genius. I applaud the entire talented cast and crew, especially actress Christine Cox, their performance was exceptionally wonderful. I'd like to see her in more comedies... she's a natural person."
9,"	Incredible movie for guys!
 	If you like action, shooting, explosions, fire, pain, torture and revenge, this is a movie you'll love.  And, it stars one of the best actors in the world who is completely believeable in this role.  A great storyline with intriguing twists plus situations and settings that are very close to reality.
",1,"Incredible film for guys! If you like action, shootings, explosions, fire, pain, torture and revenge, this is a movie you will love. And it's playing one of the best actors in the world who is absolutely believable in that role. A great plot with fascinating twists, situations and locations that are very close to reality."
