,text,label,aug_text
0,"	Everyone should own one
	I purchased this unit due to frequent blackouts in my area and 2 power supplies going bad.  It will run my cable modem, router, PC, and LCD monitor for 5 minutes.  This is more than enough time to save work and shut down.   Equally important, I know that my electronics are receiving clean power.

I feel that this investment is minor compared to the loss of valuable data or the failure of equipment due to a power spike or an irregular power supply.

As always, Amazon had it to me in  and lt;2 business days
",1,"Everyone should have a device, which I bought due to frequent power outages in my area and two faulty power supplies. It will run my cable modem, router, PC and LCD monitor for 5 minutes. This is more than enough time to save work and shut it down. Equally important, I know that my electronics are clean. I believe that this investment is small compared to the loss of valuable data or equipment failure due to a power failure or irregular power supply. As always, Amazon had it in for me in and out of 2 business days"
1,"	Breif Review
	I ordered 3 APC Back-UPS ES 500s on the recommendation of an employee of mine who used to work at APC. I've had them for about a month now without any problems. They've functioned properly through a few unexpected power interruptions. I'll gladly order more if the need arises.

Pros:
 - Large plug spacing, good for power adapters
 - Simple design
 - Long cord

Cons:
 - No line conditioning (usually an expensive option
",1,"Breif Review I ordered 3 APC Back-UPS ES 500s on the recommendation of an employee of mine who used to work at APC. I have had it for about a month now without any problems. They worked properly due to a few unexpected power interruptions. I will gladly order more if necessary. Advantages: - Large plug spacing, good for AC adapters - Simple design - Long cable cons: - No cable conditioning (usually an expensive option)"
2,"	Works fine.
	Wish the unit had a separate online/offline light.  When power to the unit is missing, the single red light turns off only when the warning sounds.  The warning sound is like a lot of sounds you hear in the house so it isn't always easy to tell what is happening
",1,"Works well. I wish the device had a separate online / offline light. If the power supply of the device is missing, the individual red light only switches off when the warning is sounded. The warning sound is like a lot of noises you hear in the house, so it's not always easy to tell what's happening"
3,"	Affordable and effective
	Cheaper than thick CD cases and less prone to breakage, these ""slim"" cases by Memorex protect your CDs. Most buyers will get them  for use in CD or DVD burning, and these are an affordable choice from a quality company for that purpose.

You may want to consider larger cases depending on your tastes, but otherwise these will probably satisfy your needs
",1,"Cheaper and more effective than thick CD sleeves and less prone to breakage, these ""slim"" Memorex sleeves protect your CDs. Most buyers will get them to burn CDs or DVDs, and these are an affordable choice of a quality company for this purpose. Depending on your taste, you may want to consider larger cases, but otherwise they are likely to satisfy your needs."
4,"	It is a good product
	Hi

I brought 256 MB Kingston SD card from Amazon.com recently. According to my openion Amazon is one of the best online shopping market, they deliver the products intime and the items i brought so far are working very well. 256 MB Kingston SD card working very good with out giving any problem. 
One can always go to Amazon for online shopping.
bye
kira
",1,"It's a good product Hello I brought 256MB Kingston SD card from Amazon.com recently. In my opinion, Amazon is one of the best online shopping markets, they deliver the products on time and the items I have brought so far work very well. 256 MB Kingston SD card works very well without giving any problem. You can always go to Amazon to shop online. Bye Kira"
5,"	perfect
	This product was perfect. it's a sturdy case that holds my large collection of cd's and dvd's.

My other cases were flimsy and wore out fast. This one has a hard outside shell and the inside holds my dvd's nicely.

So i have no complaints. and at the price i paid i'd say this was a great deal
",1,"perfect This product was perfect. It is a sturdy case in which my large collection of CDs and DVDs is stored. My other cases were flimsy and wore out quickly. This has a hard outer cover and the inside holds my DVDs well. So I have no complaints. And at the price I paid, I would say this was a big deal"
6,"	Kingston 1GB SD Card Review
	Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.
",1,"Kingston 1GB SD Card Review Great value for money. Kingston has always been a reliable memory chip company, and so has this product."
7,"	Very good SD Card
	I like it very much, I use it in an outdoor trail camera for wild game and it hold several pictures and has been in the camera in all kinds of weather. I would buy Kingston again
",1,"Very good SD card I really like it, I use it in an outdoor trail camera for wildlife and it holds several pictures and was in the camera in all weather. I would buy Kingston again"
8,"	Flash Card
	I had no problems with this card and the delivery was prompt...

Thank You Muc
",1,Flash Card I had no problems with this card and the delivery was prompt... Thank you Muc
9,"	Works great for me!
	After going through the reviews, I bought this CF card for my Canon Digital Rebel. So far it has worked fine, though I don't pretend to be an expert digital photographer. When the card is empty, it shows 127 shots available. It seems to read reasonably fast, though it takes a bit longer than I was used to with my point-and-shoot Olympus and its SmartMedia card.
",1,"Works great for me! After checking the reviews I bought this CF card for my Canon Digital Rebel. So far, it has worked well, although I do not pretend to be an experienced digital photographer. If the card is empty, it shows 127 shots. It seems to read reasonably quickly, although it takes a little longer than I was used to with my point-and-shoot Olympus and its SmartMedia card."
10,"	Good little speakers!
	I am very happy with this product. It folds super slim, so traveling with it is a breeze! Pretty good sound - not Bose quality, but for the price, very respectable! I've had it almost a year, and it has been along on many weekend get-aways, and works great. I use it alot, so it was a good purchase for me
",1,"Good little speakers! I am very satisfied with this product. It folds super slim, so traveling with it is a breeze! Pretty good sound - not Bose quality, but very respectable for the price! I've been doing it for almost a year, and it's been on many weekends, and it works great. I use it a lot, so it was a good purchase for me"
11,"	Excellent option to avoid camera cables
	I bought this reader because I wanted to avoid having my camera and all its cable attached to my pc to download the pictures; and with this reader I could leave my camera (and its cables) in its case and just download the picture with the memory card, I recomend this product....
",1,"Excellent option to avoid camera cables, I bought this reader because I wanted to avoid that my camera and cable are connected to my PC to download the pictures; and with this reader I could leave my camera (and its cables) in its case and simply download the picture with the memory card, I recommend this product...."
12,"	Does the job
	It's a simple device, so there's not to say about it other than it does the job. You should note that the LEDs on the device remain lit as long as the device is plugged into your PC and the PC is powered (they glow a bright blue).
",1,"Makes the work It's a simple device, so there's nothing else to say about it but that it does the work. Note that the LEDs on the device light up as long as the device is connected to your PC and the PC is switched on (they light up bright blue)."
13,"	Great Product
	I was thinking about buying a 1G card, but after reading one of the reviews,I bought two 512 card,just in case that something
went wrong. Which to me made a lot of sense. I'm please
",1,"Great product I thought about buying a 1G card, but after reading one of the reviews, I bought two 512 cards, just in case anything went wrong. Which made a lot of sense to me. I'm happy."
14,"	A SanDisk Fan
	I have always been very pleased with the SanDisk products. I would highly recommend them
",1,"As a SanDisk fan, I have always been very satisfied with SanDisk products. I would highly recommend it"
