,text,label,aug_text
0,"	Perfectly fits the books' atmosphere
	For those of you unfamiliar with the ""A Series of Unfortunate Events"" books, they detail the absurdly tragic lives of the fictional Baudelaire orphans, and their struggles to overcome adversity (after adversity, after adversity, ad infinitum).  Hovering in the background of their tragedies and occasional, brief glimpses of happiness, is their distant cousin, the scheming, greedy, conniving, ruthless cousin, the Count.


Given the concept of the story, this poster fits perfectly, with the orphans, standing together but otherwise alone, in the middle, with the shadow of the Count casting gloom upon them.  It is a perfect fit, as is the casting of Jim Carrey as the Count
",1,"For those of you who are unfamiliar with the books ""A Series of Unfortunate Events,"" they are a detailed portrait of the absurdly tragic lives of the fictional Baudelaire orphans and their struggles to overcome adversity (after adversity, after adversity, ad infinitum). In the background of her tragedies and occasional brief moments of happiness, her distant cousin, the scheming, greedy, insidious, ruthless cousin, the Earl, hovers. Given the concept of history, this poster fits perfectly, with the orphans standing together, but otherwise alone, in the middle, with the Count's shadow casting gloom on them. It fits perfectly, as does the cast, with Jim Carrey as Count"
1,"	no more doggy fueds with neighbor
	i absolutely love this product. my neighbor has four little yippers and my shepard/chow mix was antogonized by the yipping on our side of the fence. I hung the device on my side of the fence and the noise keeps the neighbors dog from picking ""arguments"" with my dog. all barking and fighting has ceased. all the surrounding neighbor as well as me can get a good nights sleep now
",1,"No more dog mergers with the neighbor, I absolutely love this product. My neighbour has four little Yippers and my Shepherd / Chow mix has been antogonised by the Yipping on our side of the fence. I hung the device on my side of the fence and the noise prevented the neighbor's dog from ""arguing"" with my dog. The barking and fighting has stopped. all the neighbours in the area and I can sleep well now"
2,"	Worked for us
	I purchased 3 units and they work well for us.  I have 2 units in children's bedrooms on AC power and the 3rd in the kitchen on batteries for portability.  The sound is clear and set-up and use is very easy.  The best thing about these units is the VOX answer option.  I have this option turned on in the kid's room and they merely have to answer back when I talk to them first without having to push the ""talk"" button.  This is very handy when you are talking to a 3 yr. old that doesn't quite understand how to use this.  I attached a large, very thin magnet on the back of my kitchen unit and I keep it on my fridge; but can bring it with me to other parts of the house if necessary.  The only small annoying feature is every time the ""talk"" button is pressed, a beep occurs.  But the other features outweight that small annoyance for me
",1,"I bought 3 units for us and they work well for us. I have 2 appliances in children's rooms with AC current and the third in the kitchen with batteries for portability. The sound is clear and the operation is very simple. The best thing about these devices is the VOX response option. I have turned this option on in the nursery and they only have to answer when I speak to them first without having to press the ""Talk"" button. This is very handy when you are talking to a 3-year-old who doesn't quite understand how to use it. I have a large, very thin magnet attached to the back of my kitchen unit and keep it on my fridge, but can take it with me to other parts of the house if needed. The only minor annoyance is that every time the ""Talk"" button is pressed, a beep is heard. But the other features outweigh the minor annoyance for me."
3,"	New Fry-guy - pretty pleased....
	I've always wanted a deep fryer, and finally decided to take the plunge.  After doing quite a bit of research, I decided on this model - picked one up at Bed, Bath, and Beyond with a 20% coupon.  In my opinion, you generally get what you pay for - so the extra cost vs. competitors wasn't a real concern. 

I must say, overall, I am quite pleased. While I am new to frying, I found it extraordinarily easy (it is pretty hot though, so be careful).  Only complaint would be that the capacity is a  little on the small side, say if you're cooking entrees for a larger family (for example, you can really only fit 3 (MAYBE 4) pieces of chicken at a time).  But since the chicken needs to cool down anyway, this wasn't such a major issue.  It came out nice, crispy, and golden brown - not too soggy, not too crisp - perfect.  

I figure if it can handle the chicken, vegetables and smaller portions will be a piece of cake.  Although I've only fried a couple of batches, I am beyond pleased - but I'll let you know if I have any problems...  Great item so far though.
",1,"New Fry guy - pretty satisfied.... I always wanted a deep fryer and finally decided to jump. After doing some research, I decided to buy this model - I picked it up from Bed, Bath, and Beyond with a 20% discount voucher. In my opinion, you generally get what you pay for - so the extra cost compared to the competition was not a real problem. Overall, I am very satisfied. Although I'm new to roasting, I found it extraordinarily easy (though it's quite hot, so beware). The only criticism would be that the capacity is a bit small, for example, when cooking appetizers for a larger family (you can really only eat 3 (MAYBE 4) pieces of chicken at a time). But since the chicken has to cool anyway, that was not such a big issue. It was nice, crispy and golden brown - not too soggy, not too crispy - perfect. I reckon it can handle the chicken, vegetables and smaller portions will be a piece of cake. Although I have only roasted a few batches, I am overjoyed - but I will let you know if I have any problems... Great piece so far though."
4,"	Excellent fryer
	Easy to use, easy to clean. Two major requirements for a kitchen appliance for me to be happy. This thing is easier to clean than my old George Foreman Grill (and that to me was a pain in the neck). The only time it can be a little messy is when you change the oil, which I do every 2 to 3 weeks depending on how much I've used it and what I've cooked. If I'm doing just veggies, I keep the oil. If I do a meat or seafood, I'll change the oil right after. 
Very pleased overall.
",1,"Excellent deep fryer Easy to use, easy to clean. Two important prerequisites for a kitchen appliance, so I am happy. This thing is easier to clean than my old George Foreman barbecue (and that was a pain in my neck). The only time it can be a little messy is when you change the oil, which I do every 2 to 3 weeks depending on how much I have used it and what I have cooked. If I eat only vegetables, I keep the oil. If I eat meat or seafood, I will change the oil immediately afterwards. Overall very pleased."
5,"	Best. Knife. Ever.
	I've been a German knife snob for years.  But this 8-inch chef's knife by Japan's Global is the finest blade I've ever owned.  Period.

Maybe it's not as easy to sharpen as a Wustof or a Henckel, but then again, it holds its edge ten times longer.

I've spent ten years and hundreds (and hundreds and hundreds!) of dollars collecting German steel.  Global is so good that it has me thinking of starting all over again
",1,"Best. Knife. Just. I've been a German knife snob for years. But this 8-inch chef's knife from Japan's Global is the finest blade I've ever owned. Full stop. It may not be as easy to sharpen as a Wustof or a Henckel, but on the other hand it lasts ten times longer. I have ten years and hundreds (and hundreds and hundreds!) of dollars that collect German steel. Global is so good that I am thinking about starting over again"
6,"	Absolutely great
	I have a number of booklites, different vendors, different styles, some AC adapter, some straight battery, cheap to higher prices, and this one is the best, the brightest, the one I will most often use.  It is connected to adapter and kept near computerat all times.  I am careful with such items, don't expect any problems, most booklites are not meant to be manhandled
",1,"Absolutely great, I have a number of booklets, different vendors, different styles, some power adapters, some straight battery, cheap at higher prices, and this one is the best, the brightest one I will use most often. It is connected to an adapter and is always kept close to the computer. I am careful with such articles, do not expect any problems, most letters are not meant to be edited"
7,"	great products
	used vet's RX to treat my dog's ear and it didnt seem to work. After reading reviews I decided to try this . After only 1 week I noticed a considerable amount of change in her ears for the better. would recommend to others
",1,"With great products, my dog's ear was treated with the vet and it didn't seem to work. After reading reviews, I decided to try this. After only a week, I noticed a significant change in her ears for the better. I would recommend to others"
8,"	I love this processor
	I was so thrilled when I unpacked my processor.  It is  so high quality and professional in both looks and performance.  It has so many features that I love, especially the triple bowl which allows you to process more than one substance at a time.  The egg beater attachment is excellent also.  I am one happy customer and recommend this processor to all
",1,"I love this processor, I was so excited when I unpacked my processor. It is so high quality and professional in appearance and performance. It has so many properties that I love, especially the triple shell, which allows you to process more than one substance at a time. The egg cup attachment is also excellent. I am a satisfied customer and recommend this processor to all"
9,"	Excellent Product and Transaction
	The KitchenAid KFPW760 is exactly as advertised. It has three nested work bowls. The inner, smallest one takes a special blade (a smaller version of the standard processor blade). It's perfect for pulverizing/mixing small quantities of things. Pulling the used bowl out leaves the next one ready for use without having to stop and clean something. The same is true for the next one until you reach the largest, 12 cup bowl.

A number of blades come in a well designed transparent and strong storage box (finally, a way to keep everything together). The unit even has with a fruit juicer accessory that replaces the bowl. It's the kind with the rotating hub (two hub sizes are included, one for lemons and a larger one for oranges, etc). While it seems to work, it's not as convenient as a low cost dedicated version such as the Black  and  Decker, but what the heck, it's worth trying.

The motor is quiet and you get a real feeling of professionalism when using it. At first I was disappointed that there weren't any fancy front panel switch options, but after thinking about it, you only need the provided On, Off and Pulse.

Would I buy it again? Absolutely. Would I buy it again from Amazon? Again, absolutely. The transaction was without difficulty and the shipment actually came earlier than promised
",1,"Excellent Product and Transaction The KitchenAid KFPW760 is exactly as advertised. It has three nested work trays. The inner, smallest blade takes a special blade (a smaller version of the standard processor blade). It is perfect for pulverizing / mixing small amounts of things. When you pull out the used bowl, the next one is ready to use without having to stop and clean anything. The same goes for the next one until you reach the largest, 12-cup bowl. A number of blades come in a well thought out, transparent and sturdy storage box (eventually a way to hold everything together). The device even has an accessory for juicers that replaces the bowl. It is the type with the rotating hub (two hub sizes are included, one for lemons and one for oranges etc.). It seems to work, but it's not as practical as a cheap version like the Black and Decker, but what the hell, it's worth trying. The engine is quiet and you get a real sense of professionalism when you use it. At first I was disappointed that there were no fancy switches on the front panel, but after a short thought you only need the included on, off and pulses. Would I buy it again? Absolutely. Would I buy it again from Amazon? Absolutely."
